,Benzene,Toluene,Ethylbenzene,O-xylene,M-xylene,P-xylene
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,5.9279888e-08,5.256544e-08,0.0,9.9747595e-08,4.7238668e-08,4.4722437e-08
3,1.5999731e-07,1.4164524e-07,0.0,2.73033e-07,1.3234138e-07,1.2177986e-07
4,3.1571264e-07,2.7956045e-07,1.2132101e-11,5.4025696e-07,2.649745e-07,2.3940154e-07
5,5.224295e-07,4.6263312e-07,5.0948523e-11,8.917119e-07,4.400828e-07,3.9560874e-07
6,7.691684e-07,6.819395e-07,1.1664424e-10,1.3130672e-06,6.4760053e-07,5.830575e-07
7,1.0686091e-06,9.484463e-07,3.408779e-10,1.8228574e-06,8.990881e-07,8.1024587e-07
8,1.4089154e-06,1.2504871e-06,6.011902e-10,2.404165e-06,1.1865936e-06,1.06665e-06
9,1.8084615e-06,1.6040797e-06,9.320075e-10,3.0820538e-06,1.5234357e-06,1.3675027e-06
10,2.260645e-06,2.004176e-06,1.2942485e-09,3.8476783e-06,1.9039667e-06,1.7068529e-06
11,2.7499457e-06,2.4363617e-06,1.8882391e-09,4.677155e-06,2.3154141e-06,2.0732127e-06
12,3.2882049e-06,2.911454e-06,2.5383746e-09,5.5901537e-06,2.7674946e-06,2.474893e-06
13,3.8712933e-06,3.426198e-06,3.2918672e-09,6.5770873e-06,3.2589476e-06,2.9103883e-06
14,4.508159e-06,3.9886627e-06,4.1083354e-09,7.653245e-06,3.7940881e-06,3.383957e-06
15,5.177355e-06,4.5797465e-06,4.9723665e-09,8.784278e-06,4.3564596e-06,3.8830126e-06
16,5.885867e-06,5.203956e-06,5.9581478e-09,9.982581e-06,4.953267e-06,4.412051e-06
17,6.637089e-06,5.8657884e-06,6.9437243e-09,1.1248537e-05,5.5855667e-06,4.9722435e-06
18,7.438707e-06,6.572999e-06,7.966262e-09,1.2603201e-05,6.261459e-06,5.5706905e-06
19,8.294435e-06,7.3292717e-06,9.157834e-09,1.4052446e-05,6.983511e-06,6.2076515e-06
20,9.198625e-06,8.129545e-06,1.0369228e-08,1.5582498e-05,7.746982e-06,6.8809336e-06
21,1.0148809e-05,8.970031e-06,1.1598968e-08,1.7183822e-05,8.549576e-06,7.5873195e-06
22,1.1145877e-05,9.851051e-06,1.2890437e-08,1.8863784e-05,9.3910885e-06,8.327683e-06
23,1.2193041e-05,1.077594e-05,1.4323244e-08,2.06256e-05,1.027391e-05,9.103896e-06
24,1.32883515e-05,1.1744086e-05,1.5785107e-08,2.2465028e-05,1.1197364e-05,9.915709e-06
25,1.4427389e-05,1.275066e-05,1.7318627e-08,2.4377026e-05,1.2156663e-05,1.0759399e-05
26,1.5615511e-05,1.380123e-05,1.8851829e-08,2.6372918e-05,1.3157917e-05,1.1641269e-05
27,1.6861171e-05,1.4903638e-05,2.0444201e-08,2.8464863e-05,1.42080635e-05,1.2567038e-05
28,1.8157592e-05,1.6050764e-05,2.207596e-08,3.0643787e-05,1.5300631e-05,1.3529947e-05
29,1.9507492e-05,1.7245395e-05,2.3806223e-08,3.2914548e-05,1.643797e-05,1.4531786e-05
30,2.0910378e-05,1.848731e-05,2.5730959e-08,3.527787e-05,1.76186e-05,1.5572821e-05
31,2.2350187e-05,1.9761641e-05,2.7780873e-08,3.769785e-05,1.8830875e-05,1.6642472e-05
32,2.3834986e-05,2.107622e-05,2.9877278e-08,4.019978e-05,2.0079657e-05,1.7746184e-05
33,2.5364012e-05,2.2432185e-05,3.1980022e-08,4.2775962e-05,2.1368385e-05,1.8883447e-05
34,2.6925769e-05,2.3817804e-05,3.431006e-08,4.5403514e-05,2.2684319e-05,2.0044685e-05
35,2.854929e-05,2.525638e-05,3.669984e-08,4.8137557e-05,2.4052233e-05,2.1251297e-05
36,3.0226818e-05,2.6741514e-05,3.9280277e-08,5.0962644e-05,2.5465215e-05,2.2497288e-05
37,3.195412e-05,2.8269029e-05,4.208707e-08,5.3870695e-05,2.6918971e-05,2.378077e-05
38,3.3713823e-05,2.9825047e-05,4.496206e-08,5.6830944e-05,2.8400216e-05,2.5087733e-05
39,3.5523455e-05,3.1425483e-05,4.806269e-08,5.987416e-05,2.9923167e-05,2.643086e-05
40,3.739335e-05,3.307981e-05,5.1218855e-08,6.30128e-05,3.149696e-05,2.7818009e-05
41,3.930676e-05,3.4771332e-05,5.444135e-08,6.622662e-05,3.3107975e-05,2.9237244e-05
42,4.127868e-05,3.6513004e-05,5.7786277e-08,6.9540125e-05,3.476876e-05,3.0700186e-05
43,4.327916e-05,3.8278788e-05,6.131873e-08,7.2901115e-05,3.6453854e-05,3.218409e-05
44,4.5332137e-05,4.0091127e-05,6.526344e-08,7.634873e-05,3.8183414e-05,3.370728e-05
45,4.7417085e-05,4.1930623e-05,6.97188e-08,7.9852274e-05,3.9937866e-05,3.525365e-05
46,4.9549588e-05,4.3811317e-05,7.432878e-08,8.3437524e-05,4.1729658e-05,3.683524e-05
