,Benzene,Toluene,Ethylbenzene,O-xylene,M-xylene,P-xylene
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,5.8120076e-08,5.174115e-08,0.0,1.0349632e-07,4.8966548e-08,4.3449646e-08
3,1.5855711e-07,1.410627e-07,0.0,2.8077255e-07,1.3294888e-07,1.19000894e-07
4,3.148197e-07,2.7991555e-07,3.188022e-11,5.4888136e-07,2.6393062e-07,2.3489608e-07
5,5.213127e-07,4.6409318e-07,1.3264623e-10,9.0030113e-07,4.3630843e-07,3.887728e-07
6,7.6888875e-07,6.83904e-07,2.9737926e-10,1.3227767e-06,6.4178425e-07,5.727141e-07
7,1.0691463e-06,9.510967e-07,6.665878e-10,1.8373534e-06,8.9173216e-07,7.9627915e-07
8,1.4100028e-06,1.2532659e-06,1.0684169e-09,2.4184765e-06,1.1759661e-06,1.0495727e-06
9,1.8102035e-06,1.6107049e-06,1.4860211e-09,3.1026232e-06,1.5104727e-06,1.3482013e-06
10,2.2639838e-06,2.0149585e-06,1.9524253e-09,3.8793296e-06,1.8894286e-06,1.6838345e-06
11,2.7553535e-06,2.4527533e-06,2.6740237e-09,4.718524e-06,2.3018436e-06,2.046822e-06
12,3.2955195e-06,2.9337048e-06,3.4004166e-09,5.6387553e-06,2.7563385e-06,2.445527e-06
13,3.880564e-06,3.4549162e-06,4.210242e-09,6.637674e-06,3.2477155e-06,2.8785971e-06
14,4.518795e-06,4.0248983e-06,5.0896753e-09,7.7291415e-06,3.7846055e-06,3.3516321e-06
15,5.188738e-06,4.6229156e-06,6.04747e-09,8.876884e-06,4.3511336e-06,3.8494745e-06
16,5.8980327e-06,5.2549344e-06,7.074915e-09,1.0085698e-05,4.9525847e-06,4.3748632e-06
17,6.6497446e-06,5.9242902e-06,8.108972e-09,1.136812e-05,5.592702e-06,4.9337805e-06
18,7.452576e-06,6.6398593e-06,9.277659e-09,1.27399e-05,6.278671e-06,5.531276e-06
19,8.31023e-06,7.402522e-06,1.0690547e-08,1.4200589e-05,7.0117735e-06,6.170294e-06
20,9.217592e-06,8.208523e-06,1.2170812e-08,1.5742859e-05,7.788751e-06,6.844414e-06
21,1.01705145e-05,9.055167e-06,1.3666263e-08,1.736121e-05,8.602472e-06,7.552808e-06
22,1.1171329e-05,9.943928e-06,1.52293e-08,1.9062314e-05,9.459009e-06,8.296916e-06
23,1.2222956e-05,1.0879486e-05,1.7043263e-08,2.0846508e-05,1.0358075e-05,9.079229e-06
24,1.3322386e-05,1.1859101e-05,1.9059355e-08,2.2711563e-05,1.1297149e-05,9.895641e-06
25,1.4465725e-05,1.2875941e-05,2.1201625e-08,2.4648172e-05,1.2272995e-05,1.0744938e-05
26,1.5658063e-05,1.393598e-05,2.3348656e-08,2.6669031e-05,1.3289906e-05,1.1630001e-05
27,1.6907677e-05,1.5046041e-05,2.555196e-08,2.8788463e-05,1.435478e-05,1.2560659e-05
28,1.8208115e-05,1.6200906e-05,2.7759844e-08,3.099288e-05,1.546483e-05,1.3529503e-05
29,1.956245e-05,1.7403048e-05,2.9977393e-08,3.3289947e-05,1.6620957e-05,1.4538284e-05
30,2.0970507e-05,1.8652821e-05,3.231004e-08,3.567722e-05,1.7822571e-05,1.558661e-05
31,2.2415552e-05,1.9934865e-05,3.476301e-08,3.8127702e-05,1.9056208e-05,1.6663787e-05
32,2.3905564e-05,2.12571e-05,3.724765e-08,4.065362e-05,2.0329753e-05,1.7775548e-05
33,2.5441223e-05,2.2617282e-05,3.974261e-08,4.325916e-05,2.164219e-05,1.892185e-05
34,2.700994e-05,2.4006402e-05,4.236865e-08,4.591702e-05,2.2983917e-05,2.009349e-05
35,2.8641502e-05,2.5449588e-05,4.5097103e-08,4.8678605e-05,2.437888e-05,2.130999e-05
36,3.0325871e-05,2.6940757e-05,4.7973696e-08,5.153063e-05,2.5820833e-05,2.2566723e-05
37,3.2060692e-05,2.847694e-05,5.1056208e-08,5.446799e-05,2.7307147e-05,2.386055e-05
38,3.3827873e-05,3.0040252e-05,5.417338e-08,5.7459052e-05,2.8822944e-05,2.5179934e-05
39,3.564494e-05,3.1648608e-05,5.7488325e-08,6.0536455e-05,3.0380723e-05,2.6536665e-05
40,3.752146e-05,3.3309396e-05,6.091723e-08,6.3715335e-05,3.199055e-05,2.7939528e-05
41,3.9440532e-05,3.50076e-05,6.447949e-08,6.696495e-05,3.3635883e-05,2.9374629e-05
42,4.1416763e-05,3.6758996e-05,6.818156e-08,7.031064e-05,3.5330777e-05,3.085269e-05
43,4.3422096e-05,3.853532e-05,7.194684e-08,7.370178e-05,3.7049518e-05,3.235145e-05
44,4.547994e-05,4.0357936e-05,7.6003886e-08,7.718047e-05,3.881269e-05,3.3888875e-05
45,4.7569276e-05,4.220901e-05,8.048084e-08,8.070899e-05,4.060325e-05,3.544964e-05
46,4.970498e-05,4.410263e-05,8.5006704e-08,8.431595e-05,4.2435044e-05,3.7046437e-05
