,HI,CR
0,0.3957723,5.88366e-07
1,0.2946855,4.4311813e-07
2,0.36246812,5.3969296e-07
3,0.1989512,2.9696477e-07
4,0.24023479,3.5717576e-07
5,0.29742712,4.4637372e-07
6,0.35553578,5.29452e-07
7,0.13578802,2.0136838e-07
8,0.2431132,3.637271e-07
9,0.14810829,2.2266171e-07
10,0.05587814,8.3921044e-08
11,0.46480638,6.920694e-07
12,0.08297711,1.2588676e-07
13,0.4052846,6.0410827e-07
14,0.11057112,1.6679196e-07
15,0.4802419,7.177791e-07
16,0.15217896,2.284946e-07
17,0.1895572,2.827963e-07
18,0.3096095,4.6023086e-07
19,0.16894574,2.5207694e-07
20,0.40222532,6.0096295e-07
21,0.17979182,2.692018e-07
22,0.045851447,6.8857084e-08
23,0.19794747,2.9658608e-07
24,0.46229622,6.912049e-07
25,0.31958148,4.768447e-07
26,0.22061007,3.3075946e-07
27,0.2907399,4.3460818e-07
28,0.07886461,1.1816231e-07
29,0.2964636,4.3916197e-07
30,0.14121439,2.1079218e-07
31,0.11059507,1.6739777e-07
32,0.35407805,5.31374e-07
33,0.37178507,5.571941e-07
34,0.25727886,3.820276e-07
35,0.18007277,2.7029532e-07
36,0.40748036,6.0952226e-07
37,0.22511885,3.36036e-07
38,0.3760956,5.5860886e-07
39,0.1905655,2.863392e-07
40,0.1108652,1.6611497e-07
41,0.25741774,3.8431887e-07
42,0.2633777,3.922905e-07
43,0.05352933,8.016465e-08
44,0.32322374,4.8349466e-07
45,0.1650239,2.4593692e-07
46,0.12565908,1.8845967e-07
47,0.13462995,2.0149702e-07
48,0.32001296,4.7649334e-07
49,0.24166168,3.6197744e-07
50,0.4521519,6.731047e-07
51,0.42570946,6.345269e-07
52,0.09389606,1.4194075e-07
53,0.2349649,3.4992922e-07
54,0.20181198,2.9991622e-07
55,0.18224132,2.7263658e-07
56,0.44866145,6.7146925e-07
57,0.34604713,5.1845535e-07
58,0.42998803,6.420016e-07
59,0.13587682,2.0479357e-07
60,0.23620813,3.5555993e-07
61,0.14811689,2.2076222e-07
62,0.2270052,3.3904894e-07
63,0.077856004,1.16844184e-07
64,0.28353187,4.2481145e-07
65,0.3420817,5.080251e-07
66,0.1715209,2.5501637e-07
67,0.117838584,1.7656613e-07
68,0.08617726,1.2928575e-07
69,0.26429784,3.9734192e-07
70,0.22416669,3.3461538e-07
71,0.5287644,7.862289e-07
72,0.35623533,5.330161e-07
73,0.33214492,4.9314923e-07
74,0.27342972,4.1021494e-07
75,0.27781412,4.182725e-07
76,0.20323198,3.0490887e-07
77,0.11578836,1.747583e-07
78,0.040544357,6.1657786e-08
79,0.4454522,6.644048e-07
80,0.39641878,5.952502e-07
81,0.14480956,2.1608777e-07
82,0.20436808,3.0710538e-07
83,0.414492,6.204075e-07
84,0.12823485,1.910737e-07
85,0.3416897,5.092614e-07
86,0.09939953,1.4900621e-07
87,0.04777534,7.194679e-08
88,0.3409755,5.077935e-07
89,0.3362804,5.0290726e-07
90,0.48067245,7.163748e-07
91,0.13587329,2.0348811e-07
92,0.42284888,6.3119273e-07
93,0.05396342,8.141956e-08
94,0.21661279,3.2195175e-07
95,0.059777256,9.066516e-08
96,0.3137802,4.72343e-07
97,0.16393967,2.4472172e-07
98,0.18391047,2.74298e-07
99,0.33899763,5.0619406e-07
100,0.289267,4.345396e-07
101,0.13970079,2.0954403e-07
102,0.056868646,8.5511616e-08
103,0.15211153,2.3009606e-07
104,0.29412377,4.3855914e-07
105,0.3404484,5.1023096e-07
106,0.11239664,1.654109e-07
107,0.29576123,4.396809e-07
108,0.13168034,1.9810574e-07
109,0.11157659,1.6722686e-07
110,0.15127422,2.2764871e-07
111,0.081717715,1.2234167e-07
112,0.16175437,2.4107868e-07
113,0.37066013,5.5453785e-07
114,0.09529446,1.446067e-07
115,0.15576507,2.3083047e-07
116,0.18730569,2.8027026e-07
117,0.20754948,3.106566e-07
118,0.34981215,5.218257e-07
119,0.21450342,3.204274e-07
120,0.28517762,4.2960446e-07
121,0.14616276,2.1875444e-07
122,0.36058754,5.4028595e-07
123,0.14038225,2.1147514e-07
