,HI,CR
0,0.34779462,5.177687e-07
1,0.23723784,3.5558412e-07
2,0.31644243,4.6947633e-07
3,0.15760854,2.3507619e-07
4,0.17715916,2.6479967e-07
5,0.22966135,3.4165555e-07
6,0.2947666,4.4138653e-07
7,0.08912802,1.3328042e-07
8,0.18263704,2.7136048e-07
9,0.117236994,1.754889e-07
10,0.045682926,6.873875e-08
11,0.42555168,6.3757125e-07
12,0.05616085,8.455936e-08
13,0.29041624,4.287258e-07
14,0.07040492,1.0519436e-07
15,0.39119932,5.8210145e-07
16,0.10386536,1.5606379e-07
17,0.15596409,2.3391425e-07
18,0.27668232,4.131411e-07
19,0.14822821,2.2170104e-07
20,0.31548113,4.7123336e-07
21,0.1341408,2.0234893e-07
22,0.03333835,5.0286094e-08
23,0.16449907,2.4613794e-07
24,0.40799773,6.1204196e-07
25,0.27067977,4.0316814e-07
26,0.17827652,2.663789e-07
27,0.24607877,3.669075e-07
28,0.05424185,8.0863344e-08
29,0.25912115,3.8655932e-07
30,0.11783746,1.7641536e-07
31,0.07823372,1.1795095e-07
32,0.27207193,4.063591e-07
33,0.26393974,3.9400527e-07
34,0.22202642,3.2905686e-07
35,0.14012282,2.0980787e-07
36,0.30446503,4.550193e-07
37,0.18332294,2.7318873e-07
38,0.33087972,4.9163543e-07
39,0.14945787,2.2382936e-07
40,0.09641063,1.4652554e-07
41,0.22312391,3.3618159e-07
42,0.21930748,3.2677534e-07
43,0.033105098,4.9084097e-08
44,0.26129264,3.909842e-07
45,0.11162698,1.6551087e-07
46,0.07342028,1.0945616e-07
47,0.103805676,1.5426953e-07
48,0.2666172,3.950368e-07
49,0.2060227,3.0865505e-07
50,0.36501428,5.423656e-07
51,0.37692317,5.650009e-07
52,0.059768237,8.972709e-08
53,0.12099315,1.8010587e-07
54,0.17050755,2.539599e-07
55,0.15083379,2.2541674e-07
56,0.3776235,5.5981144e-07
57,0.2753385,4.0964244e-07
58,0.3851862,5.7580934e-07
59,0.10669345,1.6049788e-07
60,0.14867704,2.1998189e-07
61,0.097247176,1.4510272e-07
62,0.18651867,2.7791302e-07
63,0.06488351,9.769646e-08
64,0.2528778,3.767355e-07
65,0.24764155,3.6716852e-07
66,0.14716987,2.1888229e-07
67,0.10495375,1.5914318e-07
68,0.07005765,1.05603135e-07
69,0.20080207,3.0078084e-07
70,0.20345262,3.043677e-07
71,0.4551889,6.800632e-07
72,0.3093558,4.6071037e-07
73,0.30292004,4.5381438e-07
74,0.23045288,3.4307712e-07
75,0.20598681,3.0741538e-07
76,0.16896589,2.5257575e-07
77,0.07570214,1.1379447e-07
78,0.024330543,3.629295e-08
79,0.36480427,5.431957e-07
80,0.30396315,4.5567685e-07
81,0.086013965,1.2727774e-07
82,0.16092479,2.3886884e-07
83,0.3259456,4.8760387e-07
84,0.11364433,1.6982871e-07
85,0.27995443,4.1619967e-07
86,0.078521036,1.1756878e-07
87,0.039686047,5.9979506e-08
88,0.30903602,4.589782e-07
89,0.2693868,4.0086633e-07
90,0.43381813,6.522547e-07
91,0.109597854,1.6418966e-07
92,0.3199115,4.7657264e-07
93,0.040235408,6.037243e-08
94,0.13236001,1.9749018e-07
95,0.037871398,5.692509e-08
96,0.18496093,2.775575e-07
97,0.13256088,1.963273e-07
98,0.15803656,2.3745534e-07
99,0.28373796,4.2205403e-07
100,0.2548682,3.8128283e-07
101,0.10901486,1.6347866e-07
102,0.038601674,5.7380294e-08
103,0.098031476,1.4746486e-07
104,0.27683702,4.1510634e-07
105,0.26370803,3.9279138e-07
106,0.08047048,1.2034299e-07
107,0.2467145,3.701515e-07
108,0.094201334,1.4148114e-07
109,0.09484336,1.4360803e-07
110,0.12592773,1.881073e-07
111,0.06780388,1.0083145e-07
112,0.14183511,2.1207623e-07
113,0.30998412,4.5994997e-07
114,0.057272166,8.52572e-08
115,0.09897771,1.4719697e-07
116,0.14442009,2.1617834e-07
117,0.18405798,2.7526391e-07
118,0.27882048,4.1705337e-07
119,0.1754156,2.6098522e-07
120,0.23648529,3.527704e-07
121,0.10443595,1.5719803e-07
122,0.30772617,4.6235098e-07
123,0.09156683,1.3684456e-07
124,0.16646217,2.483195e-07
125,0.19032215,2.850855e-07
126,0.25536835,3.8277153e-07
127,0.3037478,4.5410187e-07
128,0.043695603,6.5101986e-08
129,0.15804937,2.3683162e-07
130,0.14768726,2.2014943e-07
131,0.26806292,3.9913323e-07
132,0.15984027,2.3853804e-07
133,0.056420013,8.433565e-08
134,0.08540234,1.2770937e-07
135,0.35558128,5.329313e-07
136,0.35556144,5.3119976e-07
137,0.23273733,3.4904767e-07
138,0.03322971,4.9514238e-08
139,0.26580587,3.9968205e-07
140,0.1306764,1.9603158e-07
141,0.33742583,5.03068e-07
142,0.29829833,4.4456726e-07
143,0.10461014,1.5852933e-07
144,0.11387624,1.7192733e-07
145,0.22371067,3.349511e-07
146,0.30541438,4.546459e-07
147,0.23536897,3.531602e-07
148,0.37410462,5.6089124e-07
149,0.29273018,4.3338625e-07
150,0.06719581,1.017149e-07
151,0.253841,3.7796696e-07
152,0.025589617,3.8458e-08
153,0.31190342,4.6631524e-07
154,0.33895084,5.0627114e-07
155,0.21239021,3.1677544e-07
156,0.19958897,2.9902407e-07
157,0.2762003,4.0999302e-07
158,0.37487015,5.598006e-07
159,0.100992605,1.5031894e-07
160,0.1450476,2.1589489e-07
161,0.03595821,5.372799e-08
162,0.041662984,6.206266e-08
163,0.29725388,4.4044242e-07
164,0.07650765,1.156405e-07
165,0.11430971,1.7080279e-07
166,0.23584697,3.501937e-07
167,0.31106094,4.6154392e-07
168,0.3308029,4.923147e-07
169,0.25772503,3.882264e-07
170,0.12708,1.8942463e-07
171,0.06602126,9.948555e-08
172,0.15668902,2.3323528e-07
173,0.038479682,5.6983716e-08
174,0.15578213,2.327278e-07
175,0.19166072,2.865513e-07
176,0.010513601,1.5584217e-08
177,0.26458412,3.9657274e-07
178,0.21489973,3.1919683e-07
179,0.2534225,3.7684146e-07
180,0.08322185,1.2466145e-07
181,0.3392912,5.1079473e-07
182,0.33397412,4.9618393e-07
183,0.011229367,1.6842584e-08
184,0.05516382,8.324885e-08
185,0.2688549,4.0196713e-07
186,0.33201787,4.9662185e-07
187,0.0614044,9.1201926e-08
188,0.17066917,2.5410696e-07
189,0.25477213,3.8041998e-07
190,0.20469458,3.0442624e-07
191,0.055648454,8.39902e-08
192,0.36340487,5.435498e-07
193,0.09699386,1.456544e-07
194,0.0408664,6.08875e-08
195,0.17534073,2.6558237e-07
196,0.24356061,3.6383904e-07
197,0.46914893,7.0488903e-07
198,0.085751384,1.2934447e-07
199,0.2726581,4.1299705e-07
200,0.32407483,4.8534594e-07
201,0.3528499,5.2872275e-07
202,0.071960315,1.0809005e-07
203,0.24852665,3.680618e-07
204,0.09647943,1.4371192e-07
205,0.12916794,1.9422588e-07
206,0.3662515,5.472917e-07
207,0.13949236,2.078519e-07
208,0.35749727,5.363561e-07
209,0.2221337,3.334335e-07
210,0.16562751,2.4843425e-07
211,0.270497,4.05613e-07
212,0.09630276,1.4609432e-07
213,0.22119297,3.2963084e-07
214,0.115542635,1.7299764e-07
215,0.16499236,2.4516754e-07
216,0.20136142,2.9964704e-07
217,0.19217072,2.8570398e-07
218,0.271795,4.0598727e-07
219,0.2573415,3.8473274e-07
220,0.049185045,7.339047e-08
221,0.36288425,5.434876e-07
222,0.2518429,3.7723007e-07
223,0.310086,4.6510485e-07
224,0.050964117,7.5907295e-08
225,0.31585908,4.7197008e-07
226,0.13217825,1.980132e-07
227,0.20430303,3.0608857e-07
228,0.10141464,1.5204907e-07
229,0.06430999,9.5780024e-08
230,0.3278379,4.909617e-07
231,0.24968015,3.719454e-07
232,0.14482635,2.1662495e-07
233,0.07680009,1.15012774e-07
234,0.19303288,2.8976748e-07
235,0.31846914,4.7525506e-07
236,0.04116706,6.14216e-08
237,0.16184297,2.41699e-07
238,0.069240265,1.0235084e-07
239,0.03276765,4.9235243e-08
240,0.22581391,3.3731655e-07
241,0.30422086,4.535667e-07
242,0.09530555,1.4141419e-07
243,0.3720589,5.5683745e-07
244,0.014104681,2.1097957e-08
245,0.2661576,3.9513822e-07
246,0.09835628,1.471075e-07
247,0.28262404,4.2209587e-07
248,0.2616786,3.9077645e-07
249,0.41203403,6.1662706e-07
250,0.15525185,2.3176544e-07
251,0.36964792,5.566771e-07
252,0.045924522,6.9267095e-08
253,0.06946833,1.0375968e-07
